hostname,num_stars,num_planets,orbital_period_mean,inner_orbit,outer_orbit,planet_radius_mean,planet_radius_std,planet_mass_mean,planet_mass_std,eccentricity_mean,stellar_temp,stellar_radius,stellar_mass,stellar_metallicity,log_orbital_period_mean,orbital_span,system_compactness,mass_to_radius_ratio,planet_per_star_ratio
HD 10647,1,1,989.2,2.015,2.015,13.8,0.0,298.75,0.0,0.15,6218.0,1.1,1.11,0.0,2.9952841076892596,0.0,0.0,21.64855072463768,1.0
HD 106515 A,2,1,3626.0,4.48,4.48,12.1,0.0,6006.9568923,0.0,0.571,5362.0,0.91,0.89,0.03,3.5594277997594896,0.0,0.0,496.4427183719008,0.5
HD 10697,1,1,1075.3799,2.051,2.051,12.8,0.0,1825.2885414,0.0,0.104,5641.0,1.863076,0.99,0.17,3.031561914788798,0.0,0.0,142.600667296875,1.0
HD 107148,2,2,33.19135,0.1407,0.269,7.15,3.4648232278140827,43.318529139999995,33.124375954500614,0.195,5797.0,1.169193,1.12,0.314,1.5210249169348797,0.12830000000000003,15.588464536243176,6.058535544055943,1.0
HD 108147,1,1,10.8985,0.102,0.102,10.9,0.0,82.95,0.0,0.53,6255.73,1.20664,1.22,0.1803,1.0373667285322805,0.0,0.0,7.610091743119266,1.0
HD 108202,1,1,2990.0,3.7,3.7,13.1,0.0,953.485221,0.0,0.52,4556.03,0.66355,0.74,0.3048,3.4756711883244296,0.0,0.0,72.7851313740458,1.0
HD 108236,1,5,14.661254399999999,0.04527,0.1758,2.265,0.5625477757488693,5.918,2.5035215197796887,0.0486,5660.0,0.877,0.869,-0.28,1.1661711296292636,0.13053,38.30537041293189,2.61280353200883,5.0
HD 108341,2,1,1129.0,2.0,2.0,13.3,0.0,715.11391575,0.0,0.85,5122.0,0.79,0.843,0.04,3.052693941924968,0.0,0.0,53.76796359022556,0.5
HD 108863,1,1,437.7,1.32,1.32,13.3,0.0,767.24162,0.0,0.032,4878.0,5.74,1.59,0.2,2.641176546613114,0.0,0.0,57.68733984962406,1.0
HD 108874,1,2,1009.2406149999999,1.04,2.659,13.7,0.1414213562373109,382.97929999999997,96.64636490308365,0.1845,5600.0,1.05,1.1,0.26,3.003994719565965,1.6189999999999998,1.2353304508956147,27.954693430656935,2.0
HD 109246,1,1,68.27,0.33,0.33,13.9,0.0,273.3338,0.0,0.12,5844.0,1.07,1.2,0.1,1.8342299028516773,0.0,0.0,19.66430215827338,1.0
HD 109271,1,2,19.39215,0.079,0.196,4.789999999999999,0.6788225099390859,20.658,4.944090614056339,0.2,5783.0,1.294595,1.047,0.1,1.2876259618055166,0.117,17.094017094017094,4.312734864300627,2.0
HD 109286,1,1,520.1,1.259,1.259,13.2,0.0,950.30693693,0.0,0.338,5694.0,1.089,0.98,0.05,2.716086853774832,0.0,0.0,71.99294976742425,1.0
HD 109749,2,1,5.239891,0.0615,0.0615,11.1,0.0,85.8141,0.0,0.0,5824.0,1.22,1.13,0.24,0.7193222529014964,0.0,0.0,7.731,0.5
HD 10975,1,1,283.8,0.95,0.95,14.3,0.0,143.02278315,0.0,0.442,4840.0,11.16,1.41,-0.21,2.4530123911214554,0.0,0.0,10.001593227272727,1.0
HD 109988,1,1,17132.15854,12.518,12.518,12.1,0.0,6935.33366915,0.0,0.056,5185.97,0.869694,0.88,0.14,4.233812084679037,0.0,0.0,573.1680718305785,1.0
HD 110014,1,1,835.477,2.14,2.14,12.4,0.0,3524.59,0.0,0.462,4445.0,20.9,2.17,0.19,2.9219344986213027,0.0,0.0,284.2411290322581,1.0
HD 110082,2,1,10.18271,0.113,0.113,3.2,0.0,10.3,0.0,0.2,6200.0,1.19,1.21,0.08,1.0078633753895851,0.0,0.0,3.21875,0.5
HD 110113,1,2,4.6425,0.035,0.068,2.081924085,0.045147473973351476,7.525,4.2072853480599575,0.069,5732.0,0.968,0.997,0.14,0.6667519124118181,0.033,60.6060606060606,3.614444952251946,2.0
HD 110537,1,1,24469.67342,16.714,16.714,11.9,0.0,8612.83200129,0.0,0.401,5718.0,1.16626,1.02,0.09,4.388628173158967,0.0,0.0,723.7673950663866,1.0
HD 11112,1,1,17244.90764,13.38,13.38,12.6,0.0,2598.56505563,0.0,0.285,5905.64,1.47368,1.07,0.1869,4.2366608727222115,0.0,0.0,206.23532187539683,1.0
HD 111232,1,2,13820.789125000001,2.148,17.25,12.399999999999999,0.2828427124746186,4136.2188887,2269.4106033705925,0.386,5512.0,0.9,0.96,-0.36,4.140532840639404,15.102,0.13243279035889285,333.5660394112904,2.0
HD 111591,1,1,1056.4,2.5,2.5,12.9,0.0,1398.452,0.0,0.26,4884.0,8.03,1.94,0.07,3.0238283925348863,0.0,0.0,108.40713178294574,1.0
HD 111998,1,1,810.0,1.91,1.91,12.9,0.0,1525.5763536,0.0,0.13,6557.0,1.45,1.4,0.07,2.90848501887865,0.0,0.0,118.2617328372093,1.0
HD 112300,1,1,466.63,1.33,1.33,12.2,0.0,5031.22368281,0.0,0.36,3657.0,65.8,1.4,-0.06,2.6689726564800895,0.0,0.0,412.3953838368853,1.0
HD 112570,1,1,2615.0,3.9,3.9,13.1,0.0,1086.97315194,0.0,0.2,4750.0,9.85,1.15,-0.4,3.417471693203293,0.0,0.0,82.97504976641221,1.0
HD 112640,1,1,613.2,1.7,1.7,12.9,0.0,1589.15,0.0,0.24,4155.0,39.0,1.8,-0.09,2.7876021461823375,0.0,0.0,123.18992248062015,1.0
HD 113337,3,2,2873.76058,1.022,6.805,12.6,0.7071067811865476,3667.73981678,3722.121054974931,0.22200000000000003,6774.0,1.5,1.41,0.07,3.458450583173259,5.7829999999999995,0.3458412588621823,291.09046164920636,0.6666666666666666
HD 113538,1,2,1240.6,1.24,2.44,13.5,0.4242640687119295,204.99,128.09946447975494,0.17,4462.0,0.53,0.585,-0.24,3.0936317768289476,1.2,1.6666666666666667,15.184444444444445,2.0
HD 113996,2,1,610.2,1.6,1.6,12.7,0.0,2002.329,0.0,0.28,4181.0,25.11,1.49,0.13,2.785472203306388,0.0,0.0,157.66370078740158,0.5
HD 114082,1,1,109.75,0.5109,0.5109,11.2089807,0.0,2542.627256,0.0,0.395,6651.0,1.49,1.47,0.0,2.040404528914159,0.0,0.0,226.83840074771476,1.0
HD 114386,1,2,690.850005,1.05,1.73,13.5,0.141421356237309,290.812992405,244.9650978093256,0.165,4836.0,0.76,0.6,-0.05,2.8393837650702825,0.6799999999999999,2.9411764705882355,21.54170314111111,2.0
HD 114729,2,1,1121.79,2.067,2.067,13.9,0.0,262.20975,0.0,0.079,5844.0,1.473,0.936,-0.33,3.0499115642488444,0.0,0.0,18.864010791366905,0.5
HD 114783,1,2,2422.85,1.16,5.0,13.55,0.21213203435596414,476.73698665,179.7988507996771,0.097,5135.0,0.840622,0.853,0.21,3.384326527555253,3.84,0.5208333333333334,35.1835414501845,2.0
HD 11505,1,1,32669.22247,20.247,20.247,12.6,0.0,2510.52658689,0.0,0.144,5757.15,1.19568,1.03,-0.2203,4.5141387983564645,0.0,0.0,199.24814181666667,1.0
HD 11506,1,3,9447.206666666667,0.771,18.2,13.066666666666668,0.8621678104251703,1915.4458661866668,1995.6519661567122,0.299,6123.0,1.24,1.22,0.3,3.9753034160666108,17.429,0.1721269149119284,146.59024486122448,3.0
HD 115404 A,1,2,7664.860025,0.088,11.364,9.295,4.53255446740577,1655.2503436549998,2297.27819248059,0.2215,5019.17,0.727007,0.83,-0.1568,3.884504228215159,11.276000000000002,0.177367860943597,178.07964966702525,2.0
HD 115954,1,1,3700.0,5.0,5.0,12.6,0.0,2685.65003915,0.0,0.487,5957.0,1.213,1.18,0.34,3.568201724066995,0.0,0.0,213.14682850396824,1.0
HD 116029,2,2,788.5,1.65,1.65,13.649999999999999,0.07071067811865513,424.30305,29.216167274387658,0.019,4819.0,4.89,0.83,0.09,2.896801697664922,0.0,0.0,31.08447252747253,1.0
HD 117207,1,1,2621.75,3.787,3.787,13.4,0.0,669.34662514,0.0,0.157,5732.0,1.074,1.053,0.19,3.4185912766763793,0.0,0.0,49.951240682089555,1.0
HD 11755,1,1,433.70001,1.09,1.09,12.8,0.0,1789.3829,0.0,0.19,4312.0,20.58,0.72,-0.74,2.637189432162469,0.0,0.0,139.79553906249998,1.0
HD 117618,1,1,25.8,0.18,0.18,8.59,0.0,55.30242,0.0,0.15,5990.0,1.2,1.077,0.0283,1.4116197059632303,0.0,0.0,6.438,1.0
HD 118203,1,2,2554.56748895,0.0713,6.28,12.589119,0.2674546547024371,2213.674854755,2168.7277007889834,0.2868,5742.0,2.04,1.27,0.287,3.4073173807671178,6.2087,0.32212862596034597,175.8403312221451,2.0
HD 11964,2,2,991.455,0.229,3.16,9.74,6.165971131946694,111.5,122.32947314527271,0.17049999999999998,5303.0,2.00971,0.91,0.1,2.996273007300583,2.931,0.6823609689525759,11.447638603696099,1.0
HD 11977,1,1,711.0,1.93,1.93,12.7,0.0,2080.0,0.0,0.4,4970.0,10.09,1.91,-0.21,2.851869600729766,0.0,0.0,163.77952755905514,1.0
HD 120084,1,1,2142.0,4.21,4.21,12.7,0.0,2034.1018048,0.0,0.483,4879.0,10.37,2.16,0.1,3.330819466495837,0.0,0.0,160.1654964409449,1.0
HD 121504,1,1,63.33,0.33,0.33,13.6,0.0,479.9233,0.0,0.03,6027.0,1.07,1.62,0.15,1.8016094880273188,0.0,0.0,35.28847794117647,1.0
HD 12235,1,2,18170.53492,0.054,22.21,7.865,6.554879861599296,1573.0917004449998,2209.8548685856217,0.275,5986.0,1.80185,1.1,0.31,4.259367712634655,22.156000000000002,0.09026900162484201,200.01165930642082,2.0
HD 124330,1,1,270.66,0.86,0.86,14.0,0.0,238.37130525,0.0,0.34,5873.0,1.30446,1.15,0.22,2.4324240774813544,0.0,0.0,17.02652180357143,1.0
HD 12484,1,1,58.83,0.297,0.297,13.2,0.0,947.1334,0.0,0.07,5920.0,1.001848,1.01,0.05,1.7695988483874465,0.0,0.0,71.75253030303031,1.0
HD 125271,1,1,14901.99295,10.817,10.817,12.4,0.0,3465.60094993,0.0,0.165,4703.93,0.751364,0.75,-0.22,4.173244353600768,0.0,0.0,279.483947575,1.0
HD 125390,1,1,1757.39151,3.496,3.496,11.9,0.0,8646.20398403,0.0,0.597,4882.0,6.47,1.82,-0.11,3.244868523983384,0.0,0.0,726.5717633638656,1.0
HD 125612,2,3,1128.19386,0.051,3.982,9.99,5.132962107789224,1080.7225266033333,1138.9606277728349,0.23666666666666666,5900.0,1.07,1.05,0.23,3.0523837318231855,3.931,0.7631645891630628,108.18043309342676,1.5
HD 12648,1,1,133.60001,0.54,0.54,13.4,0.0,622.9468,0.0,0.04,4835.0,11.02,0.67,-0.57,2.1258064906465974,0.0,0.0,46.48856716417911,1.0
HD 126525,1,1,960.41,1.837,1.837,10.3,0.0,75.32571,0.0,0.035,5638.0,0.979,0.897,-0.1,2.982456673378127,0.0,0.0,7.31317572815534,1.0
HD 12661,1,2,985.3543099999999,0.84,2.8145,13.25,0.07071067811865576,835.8906459049999,89.89271153408826,0.20550000000000002,5645.0,1.2,1.2,0.36,2.9935924205582123,1.9745,1.0129146619397316,63.08608648339622,2.0
HD 126614,3,1,1257.25303,2.249,2.249,12.7,0.0,107.74382997,0.0,0.548,5568.0,1.369794,0.96,0.56,3.099422690950904,0.0,0.0,8.48376613937008,0.3333333333333333
HD 127506,1,1,65.78395,0.287,0.287,5.67,0.0,27.333243,0.0,0.24,4595.32,0.735766,0.73,-0.08,1.8181199471597091,0.0,0.0,4.820677777777778,1.0
HD 128311,1,2,687.2785,1.084,1.74,13.25,0.3535533905932738,883.24957,453.97429149433117,0.23099999999999998,4965.0,0.76,0.828,0.08,2.837132758171524,0.6559999999999999,3.0487804878048785,66.66034490566037,2.0
HD 128356,1,1,298.2,0.87,0.87,13.9,0.0,282.8687,0.0,0.57,4875.0,0.85,0.65,0.17,2.474507639116976,0.0,0.0,20.35026618705036,1.0
HD 128717,1,1,3420.0,4.85,4.85,12.1,0.0,6293.0024586,0.0,0.85,6210.0,1.248,1.212,0.16,3.534026106056135,0.0,0.0,520.0828478181818,1.0
HD 129445,1,1,1840.0,2.9,2.9,13.3,0.0,797.74930157,0.0,0.7,5646.0,1.175816,0.99,0.25,3.2648178230095364,0.0,0.0,59.981150493984956,1.0
HD 130322,1,1,10.70871,0.0925,0.0925,13.7,0.0,365.49,0.0,0.029,5387.0,0.85,0.92,-0.02,1.0297371577016687,0.0,0.0,26.678102189781026,1.0
HD 131496,1,1,896.0,2.01,2.01,13.4,0.0,572.094,0.0,0.181,4846.0,4.44,1.34,0.25,2.9523080096621253,0.0,0.0,42.693582089552244,1.0
HD 13167,1,1,2613.0,4.1,4.1,13.1,0.0,1052.0173,0.0,0.563,5671.0,2.39,1.35,0.19,3.4171394097273255,0.0,0.0,80.3066641221374,1.0
HD 13189,1,1,471.60001,1.25,1.25,12.4,0.0,3480.2385,0.0,0.27,4175.0,38.41,2.24,-0.37,2.6735738056320097,0.0,0.0,280.6643951612903,1.0
HD 132406,1,1,908.0,1.98,1.98,12.8,0.0,1887.90073758,0.0,0.25,5766.0,1.34,0.973,0.1293,2.958085848521085,0.0,0.0,147.4922451234375,1.0
HD 132563,3,1,1544.0,2.62,2.62,13.6,0.0,473.547,0.0,0.22,6289.0,1.29577,1.231,-0.06,3.188647295999717,0.0,0.0,34.81963235294118,0.3333333333333333
HD 133131 A,2,3,2108.5,1.44,4.49,13.95,0.4949747468305846,292.4036,224.73974826452041,0.41000000000000003,5799.0,0.955014,0.95,-0.306,3.3239736053508824,3.0500000000000003,0.983606557377049,20.96083154121864,1.5
HD 133131 B,2,3,5769.0,6.15,6.15,13.3,0.0,794.575,0.0,0.61,5805.0,0.989538,0.93,-0.281,3.7611005389581424,0.0,0.0,59.74248120300752,1.5
HD 134060,1,2,647.4171,0.0444,2.3928,4.535,1.9445436482630056,19.695,13.569379130969844,0.28,5966.0,1.164285,1.095,0.14,2.811184166085343,2.3484,0.8516436722875149,4.342888643880926,2.0
HD 134606,1,5,213.74146000000002,0.0527,1.941,3.5,2.4146635376383188,14.634,17.204555501378113,0.10400000000000001,5576.0,1.158,1.046,0.343,2.329888771592172,1.8883,2.6478843404120105,4.1811428571428575,5.0
HD 134987,1,2,2629.089995,0.81,5.8,13.7,0.2828427124746199,385.85315,177.9832315973755,0.175,5736.0,1.22,1.1,0.28,3.419805452467319,4.99,0.4008016032064128,28.16446350364964,2.0
HD 135625,1,1,4055.0,5.4,5.4,13.3,0.0,731.0053361,0.0,0.16,6040.64,1.35743,1.28,0.12,3.6079908585471747,0.0,0.0,54.96280722556391,1.0
HD 135694,1,1,15.923475568,0.124695,0.124695,2.857,0.0,6.1,0.0,0.0,5712.0,1.08,1.02,-0.121,1.202037865867961,0.0,0.0,2.1351067553377665,1.0
HD 135872,1,1,2422.32597,4.172,4.172,12.8,0.0,1744.56012602,0.0,0.164,4992.0,3.93038,1.646,0.09,3.3842325853167674,0.0,0.0,136.2937598453125,1.0
HD 136118,1,1,1187.59765,2.327,2.327,12.3,0.0,4164.18778851,0.0,0.344,6097.0,1.67754,1.18,-0.05,3.074669329549603,0.0,0.0,338.55185272439024,1.0
HD 136352,1,3,48.805060000000005,0.0964,0.425,2.3806666666666665,0.6453970354234153,8.26,3.2958762112676503,0.0,5664.0,1.058,0.87,-0.24,1.6884648510223208,0.3286,9.129640900791236,3.4696163539624756,3.0
HD 136418,1,1,464.29999,1.29,1.29,13.3,0.0,680.1562,0.0,0.25,4989.0,3.78,1.48,-0.11,2.666798674312427,0.0,0.0,51.13956390977443,1.0
HD 136925,1,1,4540.0,5.13,5.13,13.9,0.0,266.97586188,0.0,0.103,5773.19,1.193078,0.875104,-0.2172,3.6570558528571038,0.0,0.0,19.2068965381295,1.0
HD 13724,1,1,142.22895,0.534,0.534,8.18,0.0,50.85254512,0.0,0.651,5835.31,1.04198,1.004,0.2169,2.1529880038873905,0.0,0.0,6.216692557457213,1.0
HD 137388,1,1,330.0,0.89,0.89,9.32,0.0,63.566,0.0,0.36,5181.0,0.88,0.68,0.19,2.5185139398778875,0.0,0.0,6.82038626609442,1.0
HD 137496,1,2,240.76057999999998,0.02732,1.2163,6.955,7.983235559596121,1219.30279881,1718.641131924588,0.2385,5799.0,1.59,1.04,-0.03,2.3815853808834224,1.18898,1.682114080976972,175.31312707548526,2.0
HD 13808,1,2,33.96725,0.10519,0.2554,3.24,0.15556349186104076,10.58,0.8768124086713178,0.11349999999999999,5035.0,0.781,0.771,-0.21,1.5310603876657363,0.15021,13.314692763464482,3.265432098765432,2.0
HD 13908,1,2,475.191,0.154,2.03,13.350000000000001,0.7778174593052026,952.6550000000001,958.4761708305534,0.06999999999999999,6255.0,1.67,1.29,0.01,2.676868206620967,1.876,1.0660980810234542,71.35992509363295,2.0
HD 13931,1,1,4218.0,5.15,5.15,13.2,0.0,889.9195396,0.0,0.02,5867.0,1.25,1.3,0.05,3.6251065754034677,0.0,0.0,67.41814693939395,1.0
HD 139357,1,1,1124.79139,2.949,2.949,12.1,0.0,6315.5682755,0.0,0.099,4700.0,11.47,2.69,-0.13,3.0510719832715876,0.0,0.0,521.9477913636364,1.0
HD 1397,1,1,11.53533,0.1097,0.1097,11.500434,0.0,131.89945,0.0,0.251,5521.0,2.336,1.324,0.29,1.0620300232289386,0.0,0.0,11.469084558026244,1.0
HD 14067,1,1,2744.0,5.15,5.15,12.2,0.0,4862.7746271,0.0,0.65,4815.0,12.4,2.4,-0.1,3.438384107034714,0.0,0.0,398.5880841885246,1.0
HD 140901,1,2,7197.51189,0.085,11.8,8.735,6.597306268470489,293.83236227000003,393.51732684994624,0.621,5610.0,0.95,0.99,0.0859,3.8571823909877194,11.715,0.17072129748186085,33.63850741499714,2.0
HD 141004,1,1,15.5083,0.1238,0.1238,3.77,0.0,13.63483866,0.0,0.16,5885.38,1.389372,1.051904,0.0247,1.190564193617374,0.0,0.0,3.6166680795755966,1.0
HD 141399,1,4,1591.5575,0.415,5.0,13.925,0.3304037933599836,287.7156075,132.62701636821296,0.10550000000000001,5600.0,1.387236,1.07,0.35,3.2018223334889786,4.585,0.8724100327153762,20.66180305206463,4.0
HD 141937,1,1,653.21997,1.5,1.5,11.9,0.0,8714.85491994,0.0,0.41,5870.0,1.03,1.09,0.11,2.8150594533583084,0.0,0.0,732.3407495747899,1.0
HD 142,2,3,3539.84324,0.474,9.811,12.0,0.9643650760992946,1934.62151341,1713.8393132896038,0.18833333333333335,6245.0,1.47,1.21,0.09,3.5489840299607023,9.337,0.3213023455071222,161.21845945083334,1.5
HD 142022 A,2,1,1928.0,2.93,2.93,12.9,0.0,1433.40611557,0.0,0.53,5421.0,1.04,0.9,0.19,3.285107029566812,0.0,0.0,111.11675314496125,0.5
HD 142245,3,1,1299.0,2.78,2.78,13.1,0.0,975.7381,0.0,0.0,4922.0,4.63,3.5,0.17,3.1136091510730277,0.0,0.0,74.48382442748093,0.3333333333333333
HD 142415,1,1,386.29999,1.06,1.06,13.5,0.0,530.7761,0.0,0.5,5940.0,1.04,1.07,0.13,2.5869246969024053,0.0,0.0,39.31674814814815,1.0
HD 143105,1,1,2.1974,0.0379,0.0379,13.7,0.0,384.5743,0.0,0.07,6380.0,1.647304,1.51,0.15,0.34190912017976804,0.0,0.0,28.07111678832117,1.0
HD 143361,1,1,1039.15,1.988,1.988,12.9,0.0,1382.55357045,0.0,0.197,5507.0,0.916,0.968,0.14,3.0166782419463205,0.0,0.0,107.17469538372093,1.0
HD 145377,1,1,103.95,0.45,0.45,12.8,0.0,1913.3366,0.0,0.31,6014.0,1.05,1.2,0.11,2.016824493667488,0.0,0.0,149.47942187499999,1.0
HD 145457,1,1,176.13,0.762,0.762,13.2,0.0,888.01256916,0.0,0.111,4757.0,9.9,1.9,-0.14,2.245833335097326,0.0,0.0,67.27367948181819,1.0
HD 145934,1,1,2751.53433,4.89,4.89,13.4,0.0,658.5404593,0.0,0.078,4823.75,6.930587,2.058,0.0951,3.4395749357321486,0.0,0.0,49.144810395522384,1.0
HD 1461,1,2,9.63836,0.0634,0.1117,2.325,0.13435028842544414,6.015000000000001,0.6010407640085661,0.2385,5765.0,1.152288,1.02,0.19,0.9840031434938915,0.048299999999999996,41.40786749482402,2.587096774193548,2.0
HD 147018,1,2,526.118,0.2388,1.922,13.05,0.4949747468305846,1377.0,994.1921343482858,0.3008,5441.0,0.937948,0.927,0.1,2.7210831605064287,1.6831999999999998,1.1882129277566542,105.51724137931033,2.0
HD 147379,2,1,86.58,0.3193,0.3193,4.94,0.0,21.6,0.0,0.063,4090.0,0.628304,0.58,0.16,1.9374175814771377,0.0,0.0,4.37246963562753,0.5
HD 147513,2,1,528.4,1.32,1.32,13.7,0.0,385.0,0.0,0.26,5883.0,0.98,1.11,0.06,2.7229628089424898,0.0,0.0,28.1021897810219,0.5
HD 14787,1,1,676.6,1.7,1.7,13.7,0.0,356.28743,0.0,0.155,4946.0,5.01,1.43,0.0,2.8303319934519617,0.0,0.0,26.00638175182482,1.0
HD 147873,2,2,304.068,0.522,1.36,13.05,0.3535533905932738,1182.3276,638.2608850712379,0.2185,5972.0,2.29,1.38,0.03,2.482970717563813,0.8380000000000001,2.386634844868735,90.59981609195403,1.0
HD 148156,1,1,1027.0,2.45,2.45,13.9,0.0,270.144,0.0,0.52,6308.0,1.21,1.22,0.29,3.0115704435972783,0.0,0.0,19.43482014388489,1.0
HD 148164,1,2,2695.275,0.993,6.15,13.25,0.6363961030678917,1015.46685,883.2272106795651,0.356,6032.0,1.34,1.21,0.24,3.4306030830253627,5.157,0.38782237735117314,76.63900754716981,2.0
HD 149026,1,1,2.87589,0.04364,0.04364,8.29466,0.0,120.7754,0.0,0.0,6179.0,1.41,1.42,0.32,0.45877227068628956,0.0,0.0,14.560620929610135,1.0
HD 149143,1,1,4.07182,0.053,0.053,13.6,0.0,422.7139,0.0,0.0167,5856.0,1.44,1.2,0.29,0.6097885712111714,0.0,0.0,31.081904411764707,1.0
HD 149806,1,1,16521.52778,12.404,12.404,12.3,0.0,4003.68444298,0.0,0.357,5352.05,0.89,0.93,0.2206,4.218050204954382,0.0,0.0,325.5028002422764,1.0
HD 150010,1,1,562.0,1.4,1.4,13.3,0.0,762.7881768,0.0,0.2,4153.0,16.2,1.3,-0.25,2.749736315569061,0.0,0.0,57.352494496240595,1.0
HD 1502,1,1,428.5,1.262,1.262,13.2,0.0,874.0325,0.0,0.031,4947.0,4.67,1.46,0.09,2.631950826259217,0.0,0.0,66.21458333333334,1.0
HD 150706,1,1,5894.0,6.7,6.7,13.3,0.0,772.32302901,0.0,0.38,5961.0,0.96,1.17,-0.01,3.7704101315139065,0.0,0.0,58.06940067744361,1.0
HD 152079,1,1,2918.92,4.187,4.187,13.2,0.0,845.74563,0.0,0.532,5907.0,1.128,1.147,0.29,3.465222192269733,0.0,0.0,64.07163863636364,1.0
HD 152581,1,1,686.5,1.66,1.66,13.4,0.0,594.02427,0.0,0.04,5027.0,5.14,1.3,-0.46,2.836640541572774,0.0,0.0,44.33016940298507,1.0
HD 152843,1,2,15.561406999999999,0.1049,0.1482,4.495,2.043538597629123,9.745000000000001,0.10606601717798302,0.06,6310.0,1.43,1.15,-0.16,1.19204886159395,0.043300000000000005,46.189376443418006,2.1679644048943274,2.0
HD 15337,1,2,10.968263199999999,0.05245,0.1235,2.1479999999999997,0.5345727265770299,6.6555,0.19304015126392726,0.077,5131.0,0.855,0.829,0.03,1.0401378634568892,0.07105,28.149190710767066,3.0984636871508386,2.0
HD 153950,1,1,499.39999,1.28,1.28,13.2,0.0,937.5985,0.0,0.34,6124.0,1.28,1.25,-0.01,2.6984485293190037,0.0,0.0,71.0301893939394,1.0
HD 154088,1,1,18.56,0.134,0.134,2.46,0.0,6.6,0.0,0.344,5374.0,0.95,0.91,0.28,1.2685779718828432,0.0,0.0,2.6829268292682924,1.0
HD 154345,1,1,3280.0,4.158,4.158,13.7,0.0,376.9444907,0.0,0.058,5468.0,0.85,0.89,-0.105,3.515873843711679,0.0,0.0,27.514196401459856,1.0
HD 154391,1,1,5163.0,7.46,7.46,12.5,0.0,2892.2385037,0.0,0.2,4909.0,8.56,2.07,0.1,3.7129021250472225,0.0,0.0,231.37908029599998,1.0
HD 154672,1,1,163.94,0.6,0.6,12.8,0.0,1706.7471,0.0,0.61,5743.0,1.32,1.18,0.25,2.214684930750601,0.0,0.0,133.33961718749998,1.0
HD 154857,1,2,1930.300005,1.29,5.36,13.25,0.07071067811865576,799.32675,29.193964121458468,0.26,5589.0,2.3,1.96,-0.22,3.2856248118008917,4.07,0.49140049140049136,60.32654716981132,2.0
HD 155193,1,1,352.65,1.04,1.04,14.0,0.0,238.37130525,0.0,0.21,6239.0,1.76439,1.221,0.05,2.5473438881806207,0.0,0.0,17.02652180357143,1.0
HD 155358,1,2,293.1,0.63,1.02,13.850000000000001,0.07071067811865388,287.82585,37.937480892186294,0.165,5905.0,1.38,1.15,-0.6,2.4670158184384356,0.39,5.128205128205128,20.781649819494582,2.0
HD 155918,1,2,8602.035065,0.03,13.183,7.735,7.162991693419727,942.8379693649999,1322.5867895449792,0.1325,5771.84,1.01906,1.03,-0.6616,3.9346012085627566,13.153,0.1520565650421957,121.89243301422106,2.0
HD 156098,1,2,3931.7211949999996,0.167,8.415,8.46,6.137686860699232,838.7491660750001,1163.6965839080467,0.25,6419.19,2.75716,1.29,0.12,3.5945827136956923,8.248,0.24248302618816686,99.14292743203309,2.0
HD 156279,1,2,2475.828565,0.502,5.486,12.5,0.0,3048.292251535,71.46688174903527,0.454,5453.0,0.95,0.94,0.14,3.3937205693254033,4.984,0.4012841091492777,243.8633801228,2.0
HD 156411,1,1,842.2,1.88,1.88,14.0,0.0,235.18,0.0,0.22,5900.0,2.16,1.25,-0.12,2.925415237084246,0.0,0.0,16.798571428571428,1.0
HD 156668,1,2,407.97274999999996,0.05,1.57,4.02,3.0405591591021546,17.823397565,19.337104280142253,0.0445,4850.0,0.72,0.772,0.05,2.6106311559333633,1.52,1.3157894736842106,4.433680986318408,2.0
HD 156846,2,1,359.51001,1.12,1.12,12.4,0.0,3391.2461,0.0,0.85,6090.0,1.9,1.38,0.15,2.555710987145164,0.0,0.0,273.4875887096774,0.5
HD 158038,1,1,521.0,1.5,1.5,13.5,0.0,486.2799,0.0,0.29,4860.0,4.5,1.3,0.19,2.7168377232995247,0.0,0.0,36.02073333333333,1.0
HD 158996,1,1,820.2,2.1,2.1,12.3,0.0,4449.62,0.0,0.13,4069.0,50.3,1.8,-0.2,2.913919764951466,0.0,0.0,361.75772357723577,1.0
HD 15906,1,2,16.2540035,0.09,0.141,2.585,0.4879036790187179,7.28,2.3051681066681446,0.075,4757.0,0.762,0.79,0.02,1.210960348934132,0.05099999999999999,39.215686274509814,2.8162475822050292,2.0
HD 159243,1,2,130.51,0.11,0.8,13.55,0.21213203435596414,481.515,173.0785268310312,0.0475,6123.0,1.12,1.125,0.05,2.115643789669941,0.6900000000000001,2.8985507246376807,35.53616236162361,2.0
HD 159868,1,2,767.55,1.032,2.32,13.65,0.49497474683058273,474.52019,325.87263498355463,0.104,5534.0,2.13,1.19,-0.08,2.8851066760277986,1.2879999999999998,1.5527950310559009,34.763383882783884,2.0
HD 1605,1,2,1363.1,1.492,3.584,13.4,0.5656854249492386,723.69891,603.6509638385018,0.097,4915.0,3.49,1.33,0.22,3.134527717797338,2.092,0.9560229445506692,54.007381343283576,2.0
HD 160691,1,4,1227.3848,0.0952,4.17,3.23,0.0,1250.098997475,916.9267090793554,0.039025000000000004,5773.0,1.33,1.13,0.28,3.088980740654773,4.0748,0.9816432708353785,387.02755339783283,4.0
