hostname,num_stars,num_planets,orbital_period_mean,inner_orbit,outer_orbit,planet_radius_mean,planet_radius_std,planet_mass_mean,planet_mass_std,eccentricity_mean,stellar_temp,stellar_radius,stellar_mass,stellar_metallicity,log_orbital_period_mean,orbital_span,system_compactness,mass_to_radius_ratio,planet_per_star_ratio
BD+20 274,1,1,578.2,1.3,1.3,13.0,0.0,1334.886,0.0,0.21,4296.0,17.3,0.8,-0.46,2.762078087334639,0.0,0.0,102.68353846153846,1.0
BD+20 594,1,1,41.6855,0.241,0.241,2.57807,0.0,22.2481,0.0,0.0,5766.0,1.08,1.67,-0.15,1.6199850150435282,0.0,0.0,8.62975016194285,1.0
BD+37 3172,1,1,1887.76,4.65,4.65,12.4,0.0,3368.9811142,0.0,0.59,4500.0,50.24,3.75,-0.03,3.2759467795271724,0.0,0.0,271.69202533870964,1.0
BD+42 2315,1,1,123.05,0.54,0.54,14.2,0.0,174.80562385,0.0,0.73,4500.0,17.85,1.38,-0.2,2.0900816180388215,0.0,0.0,12.310255200704225,1.0
BD+45 564,1,1,307.88,0.83,0.83,13.6,0.0,432.24663352,0.0,0.12,5004.0,0.813064,0.81,-0.09,2.488381477887442,0.0,0.0,31.7828407,1.0
BD+48 738,1,1,392.6,1.0,1.0,13.9,0.0,289.2253,0.0,0.2,4414.0,11.0,0.74,-0.2,2.5939502952639875,0.0,0.0,20.807575539568344,1.0
BD+48 740,1,1,733.0,1.7,1.7,13.5,0.0,540.311,0.0,0.76,4534.0,10.33,1.09,-0.13,2.8651039746411278,0.0,0.0,40.02303703703704,1.0
BD+49 828,1,1,2590.0,4.2,4.2,13.5,0.0,508.5,0.0,0.35,4943.0,7.6,1.52,-0.19,3.413299764081252,0.0,0.0,37.666666666666664,1.0
BD+55 362,1,1,265.59,0.78,0.78,14.0,0.0,228.83645304,0.0,0.27,5012.0,0.896193,0.909,0.18,2.424211718939284,0.0,0.0,16.345460931428573,1.0
BD+63 1405,1,1,1198.48,2.06,2.06,12.4,0.0,3305.4154328,0.0,0.88,5000.0,0.804724,0.816,-0.09,3.0786307910087114,0.0,0.0,266.5657607096774,1.0
BD-06 1339,1,2,64.9064,0.0428,0.435,8.38,0.0,788.01686317,1039.4708164679435,0.155,4324.0,0.686355,0.7,-0.14,1.8122875218796632,0.3922,5.099439061703213,94.03542519928399,2.0
BD-08 2823,1,2,121.6,0.06,0.68,12.5,0.0,1526.24706587,2011.3610895986944,0.16999999999999998,4816.0,0.71,0.5,-0.06,2.084933574936716,0.6200000000000001,3.2258064516129026,122.0997652696,2.0
BD-10 3166,1,1,3.48777,0.04,0.04,14.1,0.0,187.5197,0.0,0.02,5393.0,0.91,1.47,0.38,0.5425478377787923,0.0,0.0,13.2992695035461,1.0
BD-11 4672,1,2,854.1,0.3,2.36,9.07,7.113494218736668,110.97975,135.212605145101,0.225,4550.0,0.639,0.651,-0.35,2.9315087218666176,2.06,0.970873786407767,12.235915104740902,2.0
BD-13 2130,1,1,714.29999,1.66,1.66,12.5,0.0,3108.3774,0.0,0.21,4545.0,19.17,2.12,-0.08,2.853880644044541,0.0,0.0,248.670192,1.0
BD-14 3065 A,3,1,4.2889731,0.0656,0.0656,21.59,0.0,3932.0,0.0,0.066,6935.0,2.35,1.41,-0.34,0.6323533223971056,0.0,0.0,182.12135247799907,0.3333333333333333
BD-17 63,1,1,655.57,1.34,1.34,12.8,0.0,1639.99458012,0.0,0.5439,4714.0,0.74,0.741,-0.03,2.816619071297846,0.0,0.0,128.124576571875,1.0
BD-210397,1,2,4065.5,2.63,5.9,13.45,0.7778174593052014,869.7881768,927.424533674485,0.265,4051.0,0.747,0.679,0.12,3.6091139654005318,3.2700000000000005,0.6116207951070336,64.66826593308551,2.0
BEBOP-3,2,1,547.0,1.444,1.444,14.2,0.0,177.34825111,0.0,0.247,6033.0,1.414,1.083,-0.02,2.737987326333431,0.0,0.0,12.489313458450706,0.5
Barnard's star,1,4,4.089499999999999,0.0188,0.0381,0.6985,0.0456252853872353,0.2725,0.06060528029800702,0.0475,3195.0,0.185,0.162,-0.56,0.611670212526879,0.0193,207.2538860103627,0.39012168933428776,4.0
CoRoT-1,1,1,1.5089557,0.02752,0.02752,16.7,0.0,327.35,0.0,0.0,5950.0,1.11,0.95,-0.3,0.17867648992273436,0.0,0.0,19.60179640718563,1.0
CoRoT-10,1,1,13.2406,0.1055,0.1055,10.87,0.0,874.0,0.0,0.53,5075.0,0.79,0.89,0.26,1.1219076656765674,0.0,0.0,80.40478380864766,1.0
CoRoT-11,1,1,2.99433,0.0436,0.0436,16.03,0.0,740.51,0.0,0.0,6440.0,1.37,1.27,-0.03,0.47629966149847214,0.0,0.0,46.19525888958203,1.0
CoRoT-12,1,1,2.828042,0.04016,0.04016,16.14,0.0,291.438,0.0,0.07,5675.0,1.116,1.078,0.16,0.4514858549950149,0.0,0.0,18.05687732342007,1.0
CoRoT-13,1,1,4.03519,0.051,0.051,9.92,0.0,415.704,0.0,0.0,5945.0,1.01,1.09,0.01,0.6058639886265819,0.0,0.0,41.90564516129032,1.0
CoRoT-14,1,1,1.51214,0.027,0.027,12.22,0.0,2415.4,0.0,0.0,6035.0,1.21,1.13,0.05,0.17959200175564313,0.0,0.0,197.6595744680851,1.0
CoRoT-16,1,1,5.35227,0.0618,0.0618,13.11,0.0,170.032,0.0,0.33,5650.0,1.19,1.098,0.19,0.7285380136821199,0.0,0.0,12.969641495041953,1.0
CoRoT-17,1,1,3.7681,0.0461,0.0461,11.43,0.0,772.29,0.0,0.0,5740.0,1.59,1.04,0.0,0.5761224198299447,0.0,0.0,67.56692913385827,1.0
CoRoT-18,1,1,1.9000693,0.0295,0.0295,14.68,0.0,1102.82,0.0,0.08,5440.0,1.0,0.95,-0.1,0.2787694409837459,0.0,0.0,75.12397820163487,1.0
CoRoT-19,1,1,3.89713,0.0518,0.0518,14.46,0.0,352.78,0.0,0.047,6090.0,1.65,1.21,-0.02,0.590744893178108,0.0,0.0,24.396957123098197,1.0
CoRoT-2,2,1,1.7429935,0.02798,0.02798,16.432,0.0,1102.82,0.0,0.0143,5625.0,0.906,0.96,0.04,0.2412957675348951,0.0,0.0,67.11416747809153,0.5
CoRoT-20,1,2,842.121425,0.09,2.9,10.80778,1.9688964058070704,3384.8894999999998,2854.1948029594087,0.595,5880.0,1.02,1.14,0.14,2.9253747166842397,2.81,0.7117437722419929,313.19008158937356,2.0
CoRoT-21,1,1,2.72474,0.0417,0.0417,14.5717,0.0,718.2958,0.0,0.0,6200.0,1.95,1.29,0.0,0.4353250673640437,0.0,0.0,49.293891584372446,1.0
CoRoT-22,1,1,9.75598,0.092,0.092,4.88,0.0,12.2,0.0,0.077,5939.0,1.136,1.099,0.17,0.9892709013281894,0.0,0.0,2.5,1.0
CoRoT-23,1,1,3.6313,0.048,0.048,11.77,0.0,889.9,0.0,0.16,5900.0,1.61,1.14,0.05,0.5600621296516789,0.0,0.0,75.60747663551402,1.0
CoRoT-24,1,2,8.4362,0.056,0.098,4.35,0.919238815542512,16.85,15.768481220460009,0.0,4950.0,0.86,0.91,0.3,0.9261468671635578,0.042,47.61904761904761,3.8735632183908053,2.0
CoRoT-25,1,1,4.86069,0.0578,0.0578,12.11,0.0,85.81,0.0,0.0,6040.0,1.19,1.09,-0.01,0.6866979239787829,0.0,0.0,7.085879438480595,1.0
CoRoT-26,1,1,4.20474,0.0526,0.0526,14.12,0.0,165.26,0.0,0.0,5590.0,1.79,1.09,0.01,0.6237391463749965,0.0,0.0,11.703966005665722,1.0
CoRoT-27,1,1,3.57532,0.0476,0.0476,11.287,0.0,3302.11,0.0,0.065,5900.0,1.08,1.05,-0.1,0.5533149183090587,0.0,0.0,292.55869584477716,1.0
CoRoT-28,1,1,5.20851,0.0603,0.0603,10.704595,0.0,153.82972,0.0,0.047,5150.0,1.78,1.01,0.15,0.71671350231544,0.0,0.0,14.370438115594286,1.0
CoRoT-29,1,1,2.85057,0.0386,0.0386,10.0881,0.0,270.1555,0.0,0.082,5260.0,0.9,0.97,0.2,0.45493171022015916,0.0,0.0,26.779621534282967,1.0
CoRoT-3,1,1,4.2568,0.05783,0.05783,11.32,0.0,6883.91,0.0,0.0,6740.0,1.56,1.37,0.14,0.629083245916666,0.0,0.0,608.11925795053,1.0
CoRoT-30,1,1,9.06005,0.0844,0.0844,11.309881,0.0,921.707,0.0,0.007,5650.0,0.91,0.98,0.02,0.9571305944388634,0.0,0.0,81.4957292654096,1.0
CoRoT-31,1,1,4.62941,0.0586,0.0586,16.36514,0.0,266.9772,0.0,0.02,5700.0,2.15,1.25,0.0,0.6655256454301307,0.0,0.0,16.313774278741274,1.0
CoRoT-35,1,1,3.22748,0.0429,0.0429,18.83108758,0.0,349.6112477,0.0,0.0,6390.0,1.65,1.01,-0.5,0.5088635597172184,0.0,0.0,18.565642914396133,1.0
CoRoT-36,1,1,5.616531,0.066,0.066,15.80466279,0.0,216.12331676,0.0,0.0,6730.0,1.52,1.32,-0.1,0.7494681602806386,0.0,0.0,13.67465536162825,1.0
CoRoT-4,1,1,9.20205,0.09,0.09,13.34,0.0,228.83,0.0,0.0,6190.0,1.17,1.16,0.05,0.9638845887054673,0.0,0.0,17.153673163418294,1.0
CoRoT-5,1,1,4.0378962,0.04947,0.04947,15.558,0.0,148.42,0.0,0.09,6100.0,1.186,1.0,-0.25,0.6061551505792309,0.0,0.0,9.539786604962076,1.0
CoRoT-6,1,1,8.886593,0.0855,0.0855,13.068,0.0,940.74,0.0,0.1,6090.0,1.025,1.05,-0.2,0.9487352902277085,0.0,0.0,71.9880624426079,1.0
CoRoT-7,1,3,4.505863876666666,0.017016,0.046,2.94045,1.3178010500451118,9.872868393333333,6.6560605036824105,0.0,5275.0,0.83,0.82,0.05,0.6537780674354162,0.028984,103.50538227987856,3.3576045820651035,3.0
CoRoT-8,1,1,6.21229,0.063,0.063,6.39,0.0,69.92,0.0,0.0,5080.0,0.77,0.88,0.3,0.7932517211164108,0.0,0.0,10.94209702660407,1.0
CoRoT-9,2,1,95.272656,0.4021,0.4021,11.948794,0.0,266.9772,0.0,0.133,5625.0,0.96,0.96,-0.01,1.9789682725973061,0.0,0.0,22.343443196024637,0.5
DMPP-3 A,2,1,5.59,0.05958,0.05958,1.44,0.0,2.67,0.0,0.42,5138.0,0.91,0.9,0.18,0.7474118078864233,0.0,0.0,1.8541666666666667,0.5
